study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB21776	SAMEA104726369	ERX3687220	ERR3697680	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697680/ERR3697680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697680/ERR3697680_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697680/29_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697680/29_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/000/ERR3697680
PRJEB21776	SAMEA104726370	ERX3687221	ERR3697681	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697681/ERR3697681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697681/ERR3697681_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697681/30_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697681/30_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/001/ERR3697681
PRJEB21776	SAMEA104726371	ERX3687222	ERR3697682	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697682/ERR3697682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697682/ERR3697682_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697682/31_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697682/31_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/002/ERR3697682
PRJEB21776	SAMEA104726372	ERX3687223	ERR3697683	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697683/ERR3697683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697683/ERR3697683_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697683/32_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697683/32_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/003/ERR3697683
PRJEB21776	SAMEA104726373	ERX3687224	ERR3697684	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697684/ERR3697684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697684/ERR3697684_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697684/33_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697684/33_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/004/ERR3697684
PRJEB21776	SAMEA104726374	ERX3687225	ERR3697685	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697685/ERR3697685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697685/ERR3697685_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697685/34_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697685/34_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/005/ERR3697685
PRJEB21776	SAMEA104726375	ERX3687226	ERR3697686	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697686/ERR3697686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697686/ERR3697686_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697686/35_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697686/35_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/006/ERR3697686
PRJEB21776	SAMEA104726376	ERX3687227	ERR3697687	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697687/ERR3697687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697687/ERR3697687_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697687/36_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697687/36_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/007/ERR3697687
PRJEB21776	SAMEA104726377	ERX3687228	ERR3697688	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697688/ERR3697688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697688/ERR3697688_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697688/37_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697688/37_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/008/ERR3697688
PRJEB21776	SAMEA104726378	ERX3687229	ERR3697689	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697689/ERR3697689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697689/ERR3697689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697689/38_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697689/38_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/009/ERR3697689
PRJEB21776	SAMEA104726379	ERX3687230	ERR3697690	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697690/ERR3697690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697690/ERR3697690_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697690/39_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697690/39_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/000/ERR3697690
PRJEB21776	SAMEA104726380	ERX3687231	ERR3697691	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697691/ERR3697691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697691/ERR3697691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697691/40_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697691/40_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/001/ERR3697691
PRJEB21776	SAMEA104726381	ERX3687232	ERR3697692	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697692/ERR3697692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697692/ERR3697692_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697692/41_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697692/41_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/002/ERR3697692
PRJEB21776	SAMEA104726382	ERX3687233	ERR3697693	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697693/ERR3697693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697693/ERR3697693_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697693/42_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697693/42_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/003/ERR3697693
